Espécies de Controle: 6 inseridos, 0 com erro.

Situação do Emissor: 8 inseridos, 0 com erro.

Setor de Atividade: 66 inseridos, 0 com erro.

Categoria Documento: 69 inseridos, 0 com erro.

Tipo Parecer: 12 inseridos, 0 com erro.

escala_monetaria: 2 inseridos, 0 com erro.

ordem_exercicio: 2 inseridos, 0 com erro.

moeda: 1 inseridos, 0 com erro.

tipo_relatorio_auditor: 0 inseridos, 0 com erro.

tipo_relatorio_especial: 4 inseridos, 0 com erro.

assunto_prensa: 273486 inseridos, 0 com erro.

especie_documento_eventual: 37 inseridos, 0 com erro.

tipo_evento: 84 inseridos, 0 com erro.

tipo_apresentacao_evento: 84 inseridos, 0 com erro.

Empresas: 10899 inseridos, 0 com erro.

Demonstrativos Financeiros: 465956 inseridos, 0 com erro.

Informações Trimestrais: 1648436 inseridos, 0 com erro.

🕒 Tempo total de execução: 00:15:52
